season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,award_share,mov,mov_adj,win_loss_pct
1982,Mike Bantom,SF,30,TOT,82,38,24.6,4.1,8.7,0.469,0,0.1,0.333,4,8.6,0.47,0.471,2,3.3,0.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2,2016,12.7,0.505,0.008,0.375,9.7,14.4,12.1,8.1,1.5,1.7,15.2,20.2,0.2,2.7,2.9,0.069,-2,-0.3,-2.3,-0.1,0,0,0,0.5
1982,Billy Ray Bates,SG,25,POR,75,0,16.4,4.4,9.2,0.473,0.2,0.5,0.293,4.2,8.7,0.484,0.481,2.2,2.8,0.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1,1229,17.8,0.53,0.059,0.305,4.9,5,4.9,13.9,1.6,0.2,10.6,29.4,1.8,0.6,2.4,0.094,1.5,-2,-0.5,0.5,0,0.6,0.39,0.512
1982,Mel Bennett,PF,27,CLE,3,0,7.7,0.7,1.3,0.5,0,0,,0.7,1.3,0.5,0.5,0.3,2,0.167,0.3,0.7,1,0,0.3,0,1.3,0.7,1.7,23,-2.7,0.377,0,1.5,4.6,10.5,7.4,0,2.1,0,37.6,19.1,-0.1,0,-0.1,-0.27,-5,-0.4,-5.5,-0.1,0,-8.51,-7.77,0.183
1982,Kent Benson,C,27,DET,75,72,32.9,5.4,10.7,0.505,0,0.1,0.273,5.4,10.5,0.508,0.507,1.7,2.1,0.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5,2467,14.4,0.539,0.014,0.197,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,2.2,3,5.2,0.101,0,0.4,0.4,1.5,0,-0.91,-0.63,0.476
1982,Larry Bird,PF,25,BOS,77,58,38,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,2923,22.6,0.557,0.037,0.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,6.8,5.7,12.5,0.205,4.4,2.3,6.6,6.4,0.588,6.38,6.35,0.768
1982,Otis Birdsong,SG,26,NJN,37,22,27.7,6.1,13,0.469,0,0.3,0,6.1,12.7,0.479,0.469,2,3.4,0.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2,14.2,1025,13.3,0.489,0.021,0.265,3.3,7.5,5.3,18.2,1.4,0.3,10.7,23.4,0.5,1.1,1.6,0.074,-0.5,-0.7,-1.2,0.2,0,0.68,0.87,0.537
1982,Rolando Blackman,SG,22,DAL,82,16,24.1,5.4,10.4,0.513,0,0,0.25,5.3,10.4,0.515,0.514,2.6,3.4,0.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3,1979,16.2,0.559,0.005,0.323,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,3.2,0.8,4.1,0.098,1.8,-1.6,0.2,1.1,0,-4.43,-4.48,0.341
1982,Ray Blume,SG,23,CHI,49,2,11.1,2.1,4.5,0.459,0.1,0.4,0.222,2,4.2,0.48,0.468,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0,1.1,1.2,4.6,546,9.7,0.482,0.081,0.126,3,5.4,4.3,18.9,2,0.2,18.7,22.1,-0.5,0.3,-0.1,-0.013,-3.3,-1.2,-4.5,-0.3,0,-2.02,-1.57,0.415
1982,Alex Bradley,SF,22,NYK,39,0,8.5,1.4,2.6,0.524,0,0,0,1.4,2.6,0.529,0.524,0.7,1.2,0.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5,331,12.4,0.552,0.01,0.466,10.5,12,11.2,4.6,1.7,0.9,18.4,18.9,0.1,0.3,0.4,0.053,-1.6,-1,-2.6,0,0,-2.67,-2.15,0.402
1982,Charles Bradley,SG,22,BOS,51,1,6.6,1.1,2.4,0.451,0,0,0,1.1,2.4,0.455,0.451,0.8,1.2,0.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3,339,8.9,0.509,0.008,0.508,4,8.2,6.2,8.5,2,1,19.9,22,-0.2,0.4,0.2,0.03,-4.7,0.2,-4.5,-0.2,0,6.38,6.35,0.768
